pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met
HD 67087 b,973.0,13.1,352.2,1.08,1.36,1.55,6330.0,0.25
Kepler-296 e,2.96,1.53,34.14211,0.169,0.498,0.48,3740.0,-0.08
Kepler-872 b,4.62,1.99,2.578855068,0.0362,1.05,1.08,5902.0,0.04
Kepler-871 b,13.5,3.74,22.0459018,0.1572,1.11,1.14,5993.0,0.09
Kepler-603 c,34.5,6.5,127.9075774,0.53439,1.01,1.01,5808.0,0.03
Kepler-908 b,1.98,1.22,1.340597468,0.02526,1.11,1.12,5973.0,0.15
Kepler-499 b,5.35,2.17,5.632528453,0.0598,0.87,0.83,5312.0,0.0
Kepler-801 b,4.66,2.0,11.41928253,0.0795,0.67,0.63,4435.0,-0.17
Kepler-799 b,37.9,6.88,133.4605235,0.5167,0.95,0.93,5681.0,-0.07
Kepler-870 b,8.15,2.78,21.3587621,0.1539,1.01,1.02,5857.0,-0.01
Kepler-869 b,12.7,3.61,40.4287755,0.2244,0.97,0.95,5664.0,0.02
Kepler-907 b,1.87,1.2,15.86621821,0.1225,1.08,1.38,6106.0,-0.15
Kepler-912 b,8.25,2.8,2.534756273,0.0339,1.07,1.11,5998.0,0.02
Kepler-797 b,5.35,2.17,27.07237711,0.181,0.96,0.95,5680.0,-0.02
Kepler-867 b,19.4,4.64,150.242127,0.5375,0.92,0.91,5541.0,-0.02
Kepler-868 b,4.86,2.05,5.03251791,0.0575,0.93,0.89,5614.0,-0.08
Kepler-866 b,3.29,1.63,2.617032536,0.0331,0.75,0.71,4751.0,-0.07
Kepler-913 b,4.9,2.06,10.29672521,0.1009,0.63,0.61,4687.0,-0.52
Kepler-910 b,0.477,0.82,2.364369015,0.03752,1.26,1.5,6230.0,0.12
Kepler-847 b,1.76,1.18,2.343231895,0.0315,0.83,0.77,4940.0,0.15
Kepler-846 b,6.71,2.48,19.80792185,0.1399,0.94,0.91,5579.0,0.0
