pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met,pl_masse,log_mass,log_radius,log_period,mass_radius_ratio
HD 37605 c,1013.8777,13.1,2720.0,3.74,0.94,0.91,5329.0,0.27,1013.8777,3.0059855709554184,1.1172712956557642,3.4345689040341987,77.39524427480916
HD 1605 c,1150.5446,13.0,2149.0,3.584,1.33,3.49,4915.0,0.22,1150.5446,3.0609034584314028,1.1139433523068367,3.3322364154914434,88.50343076923076
HD 55696 b,1357.12729789,12.9,1827.0,3.18,1.29,1.52,6012.0,0.37,1357.12729789,3.1326205861846166,1.110589710299249,3.2617385473525378,105.20366650310076
HD 148164 c,1640.0028,12.8,5062.0,6.15,1.21,1.34,6032.0,0.24,1640.0028,3.2148445895254487,1.1072099696478683,3.7043221408222355,128.12521875
HD 211810 b,212.9461,14.0,1558.0,2.656,1.03,1.13,5652.0,0.17,212.9461,2.328269690599064,1.146128035678238,3.1925674533365456,15.210435714285714
HD 221416 b,60.5,9.17,14.2767,0.1228,1.212,2.943,5080.0,-0.08,60.5,1.7817553746524688,0.9623693356700211,1.1546278336717117,6.597600872410033
Kepler-595 c,3.3,1.009,12.38602,0.0983,0.93,0.821,5138.5,0.406,3.3,0.5185139398778874,0.0038911662369104775,1.0929317769397098,3.2705649157581766
Kepler-595 b,17.4,3.708,25.3029092,0.1582,0.93,0.821,5138.5,0.406,17.4,1.2405492482825997,0.5691397254724595,1.4031704570205399,4.692556634304206
OGLE-TR-211 b,327.351,15.244,3.67724,0.051,1.33,1.64,6325.0,0.11,327.351,2.5150136719536578,1.1830989401001295,0.5655219756056601,21.474088165835738
Lupus-TR-3 b,257.431,9.976,3.91405,0.0464,0.87,0.82,5000.0,,257.431,2.4106608437272152,0.9989564404704863,0.5926263692487573,25.80503207698476
WASP-21 b,95.345,11.99,4.322482,0.052,1.01,1.06,5800.0,-0.22,95.345,1.9792979230836945,1.0788191830988487,0.6357331934284469,7.952043369474562
CoRoT-10 b,874.0,10.87,13.2406,0.1055,0.89,0.79,5075.0,0.26,874.0,2.941511432634403,1.0362295440862945,1.1219076656765674,80.40478380864766
CoRoT-12 b,291.438,16.14,2.828042,0.04016,1.078,1.116,5675.0,0.16,291.438,2.4645461778881823,1.2079035303860517,0.4514858549950149,18.05687732342007
CoRoT-13 b,415.704,9.92,4.03519,0.051,1.09,1.01,5945.0,0.01,415.704,2.618784203408235,0.9965116721541787,0.6058639886265819,41.90564516129032
HD 285968 b,8.4,2.83,8.7836,0.066,0.5,0.478214,3703.49,-0.1,8.4,0.9242792860618817,0.45178643552429026,0.9436725500399643,2.9681978798586575
HD 205739 b,435.41,13.6,279.8,0.896,1.22,1.33,6176.0,0.19,435.41,2.638898399199671,1.1335389083702174,2.446847710155809,32.01544117647059
CoRoT-3 b,6883.91,11.32,4.2568,0.05783,1.37,1.56,6740.0,0.14,6883.91,3.837835183741682,1.0538464268522527,0.629083245916666,608.11925795053
HD 16417 b,22.1,5.0,17.24,0.14,1.2,1.639984,5841.0,0.06,22.1,1.3443922736851108,0.6989700043360189,1.236537261488694,4.42
HD 9446 b,222.472,14.0,30.052,0.189,1.0,1.0,5793.0,0.09,222.472,2.347275359089101,1.146128035678238,1.47787338016772,15.890857142857143
Kepler-4 b,24.472,4.002,3.21346,0.0456,1.223,1.487,5857.0,0.17,24.472,1.3886694639766224,0.6022770843001926,0.506972898337785,6.114942528735633
GJ 876 c,226.9846,14.0,30.0881,0.12959,0.32,0.3,3293.74,0.2129,226.9846,2.3559963930437933,1.146128035678238,1.4783947638262018,16.213185714285714
HIP 79431 b,667.415,13.4,111.7,0.36,0.49,0.478625,3191.0,0.4,667.415,2.824395963097951,1.1271047983648077,2.048053173115609,49.8070895522388
TOI-907.01,67.0,9.6158851,4.5849129,0.055225481,1.069357,2.059789,6272.0,,67.0,1.8260748027008264,0.982989265314436,0.6613310897533303,6.967637331689831
WASP-31 b,151.916,17.363,3.4059096,0.04659,1.163,1.252,6302.0,-0.2,151.916,2.181603516757939,1.239624765246138,0.5322331166911202,8.749409664228532
24 Sex b,632.46,13.4,452.8,1.333,1.54,4.9,5098.0,-0.03,632.46,2.8010330637156744,1.1271047983648077,2.6559064181802152,47.19850746268657
WASP-37 b,572.07,13.002,3.577469,0.0446,0.925,1.003,5800.0,-0.4,572.07,2.757449173467338,1.1140101617034617,0.5535758791369795,43.99861559760037
Kepler-9 d,8.41466053,1.64,1.592851,0.0273,1.07,1.02,5777.0,0.12,8.41466053,0.9250366000597224,0.21484384804769785,0.20217515250904988,5.1308905670731715
HD 90156 b,17.98,4.43,49.77,0.25,0.84,0.920286,5599.0,-0.24,17.98,1.25478968739721,0.6464037262230695,1.696967640744023,4.058690744920994
HD 177830 c,47.6725,7.87,110.9,0.5137,1.47,2.62,4949.0,0.545,47.6725,1.6782679274197132,0.8959747323590646,2.04493154614916,6.057496823379924
ups And b,218.531,14.0,4.617033,0.05922166,1.3,1.56,6156.77,0.1014,218.531,2.339513053086665,1.146128035678238,0.6643629786591518,15.609357142857144
ups And d,3257.74117175,12.5,1276.46,2.51329,1.3,1.56,6156.77,0.1014,3257.74117175,3.512916576551366,1.0969100130080565,3.1060072100126073,260.61929374
Kepler-1737 b,25.1,5.395,64.61750031,0.297,0.834,0.881,5043.0,0.3,25.1,1.3996737214810382,0.7319914490189294,1.8103501535799364,4.6524559777571834
K2-269 b,3.09,1.57,4.144965,0.0531,1.16,1.45,6209.0,-0.08,3.09,0.4899584794248346,0.19589965240923377,0.6175208677280193,1.968152866242038
TOI-1249 b,11.9,3.2710301,13.079151,0.109,1.0062,0.9785,5497.0,0.297,11.9,1.0755469613925308,0.5146845405186715,1.1165795537755565,3.6379977059825896
Kepler-106 d,8.1,0.95,23.9802,0.16063,1.0,1.04,5858.0,-0.12,8.1,0.9084850188786497,-0.022276394711152253,1.379852800886857,8.526315789473685
Kepler-1031 b,0.59,0.87,1.22621732,0.0218,1.09,1.12,6011.0,0.03,0.59,-0.22914798835785583,-0.060480747381381476,0.0885674461308854,0.6781609195402298
CD-35 2722 B b,292.40213444,13.9,171.11,0.2,0.035,0.159,1800.0,0.27,292.40213444,2.4659805385051476,1.1430148002540952,2.233275391293944,21.036124779856113
Kepler-948 b,4.08,1.85,7.76846622,0.0749,0.96,0.94,5679.0,-0.02,4.08,0.6106601630898799,0.26717172840301384,0.8903352816138347,2.2054054054054055
WASP-61 b,851.7844,15.80469,3.8559,0.0521,1.82,1.55,6250.0,-0.1,851.7844,2.930329681927026,1.1987859818200313,0.586125762261047,53.89440729302504
WASP-123 b,285.72917,15.13212395,2.97764359,0.04263,1.166,1.285,5740.0,0.18,285.72917,2.455954579631466,1.1798998900209552,0.4738727135103282,18.88229114063
Kepler-1882 b,2.81,1.48674404,13.78730011,0.11636,1.068,1.458,5691.0,0.26,2.81,0.4487063199050799,0.1722362061924684,1.1394792290382174,1.8900361625125466
KOI-984 b,17.1,4.3,4.2881785,0.0504,0.928,0.818,5295.0,0.12,17.1,1.2329961103921538,0.6334684555795865,0.6322728550316209,3.976744186046512
Kepler-1573 b,1.87,1.2,2.6157554,0.0364,1.01,1.0,5808.0,0.02,1.87,0.27184160653649897,0.07918124604762482,0.41759713055557696,1.5583333333333336
Kepler-802 b,12.3,3.54,40.0587473,0.2265,0.93,0.9,5507.0,0.06,12.3,1.089905111439398,0.5490032620257879,1.6026973640987483,3.4745762711864407
Kepler-1440 b,2.13,1.26,39.859484,0.23431,0.98,0.96,5698.0,0.04,2.13,0.3283796034387377,0.10037054511756291,1.600531672251996,1.6904761904761905
WASP-130 b,390.9309,9.97601,11.55098,0.1012,1.04,0.96,5625.0,0.26,390.9309,2.592099999337635,0.9989568758095643,1.0626188318937184,39.187099852546254
Kepler-949 b,8.8,2.91,8.689307296,0.07739,0.89,0.86,5403.0,0.01,8.8,0.9444826721501687,0.4638929889859073,0.9389851562512297,3.0240549828178693
